Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
138,Jimmy Butler,35,2TM,SF,55,55,1746,0.504,9,0.826,0.317,0.335,0.127,0.047,0.174,0.546,0.741,0.43,0.487,0.214,0.308,0.554,0.875,0.092,52,0.5,0.385,2,0,,butleji01
284,KJ Martin,24,2TM,PF,43,16,912,0.552,9,0.711,0.388,0.318,0,0.005,0.289,0.671,0.705,0.625,,1,0.259,0.844,1,0.254,47,0.724,0.333,0,0,,martike04
519,Liam Robbins,25,MIL,C,13,0,57,0.25,9,0.75,0.5,0.125,0.125,0,0.25,0.333,0.25,1,0,,0,1,,0.25,1,0,,0,0,,robbili01
392,Colin Castleton,24,3TM,C,26,4,432,0.469,9.1,0.837,0.337,0.388,0.112,0,0.163,0.537,0.697,0.421,0.455,,0.125,0.682,1,0.102,8,0.563,0.111,0,0,,castlco01
192,T.J. McConnell,32,IND,PG,79,1,1415,0.519,9.1,0.921,0.24,0.357,0.263,0.061,0.079,0.537,0.667,0.52,0.457,0.474,0.306,0.388,0.733,0,0,0.306,0.4,1,0,,mccontj01
375,Jock Landale,29,HOU,C,42,3,500,0.533,9.2,0.829,0.355,0.289,0.132,0.053,0.171,0.556,0.648,0.545,0.35,0.5,0.423,0.629,0.909,0.105,15,0.077,0,0,0,,landajo01
494,Chris Livingston,21,MIL,SF,21,1,106,0.333,9.2,0.704,0.519,0.185,0,0,0.296,0.474,0.571,0.2,,,0,0.556,,0.111,3,0.375,0,0,0,,livinch01
189,Kel'el Ware,20,MIA,C,64,36,1422,0.554,9.3,0.761,0.401,0.269,0.075,0.015,0.239,0.629,0.715,0.576,0.429,0.286,0.315,0.766,0.971,0.321,128,0.18,0.2,2,0,ROY-6,wareke01
412,Dominick Barlow,21,ATL,SF,35,4,375,0.531,9.3,0.761,0.416,0.195,0.133,0.018,0.239,0.616,0.766,0.5,0.333,0.5,0.259,0.717,1,0.159,18,0.815,0.182,0,0,,barlodo01
63,Evan Mobley,23,CLE,PF,71,71,2167,0.557,9.4,0.746,0.421,0.27,0.038,0.018,0.254,0.621,0.787,0.429,0.353,0.188,0.37,0.64,0.894,0.22,192,0.2,0.435,1,0,MVP-10DPOY-1ASNBA2DEF1,mobleev01
541,Kevin McCullar Jr.,23,NYK,SF,4,0,29,0.286,9.4,0.857,0.143,0.429,0.286,0,0.143,0.333,1,0.333,0,,0,0.5,,0,0,0,,0,0,,mcculke01
306,Karlo Matković,23,NOP,PF,42,7,791,0.574,9.5,0.719,0.396,0.272,0.047,0.004,0.281,0.675,0.785,0.563,0.455,0,0.318,0.728,1,0.204,40,0.515,0.382,0,0,,matkoka01
359,Moritz Wagner,27,ORL,C,30,1,564,0.562,9.5,0.699,0.486,0.201,0.008,0.004,0.301,0.649,0.711,0.54,0,0,0.36,0.69,1,0.076,18,0.307,0.391,0,0,,wagnemo01
391,Paul Reed,25,DET,C,45,0,438,0.507,9.6,0.803,0.359,0.254,0.155,0.035,0.197,0.561,0.765,0.389,0.318,0.8,0.286,0.688,1,0.141,18,0.179,0.2,0,0,,reedpa01
419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,0.482,9.8,0.728,0.325,0.333,0.044,0.026,0.272,0.53,0.73,0.368,0.6,0,0.355,0.841,1,0.07,6,0.645,0.4,0,0,,shannte01
